"client_id","hitdatetime","action"
220214,2019-01-20 04:07:58.000,visit
183001,2019-01-20 07:32:54.000,visit
183001,2019-01-21 01:09:57.000,visit
813842,2019-01-21 13:32:38.000,visit
719746,2019-01-22 10:49:45.000,visit
311479,2019-01-22 12:32:28.000,visit
220214,2019-01-22 14:23:53.000,registration
220214,2019-01-22 21:31:27.000,login
183001,2019-01-23 03:36:23.000,visit
719746,2019-01-23 08:07:06.000,visit
697065,2019-01-23 09:22:48.000,visit
220214,2019-01-23 19:26:01.000,visit
534628,2019-01-24 03:29:28.000,visit
261411,2019-01-24 05:49:16.000,visit
950427,2019-01-24 22:00:58.000,visit
261411,2019-01-25 01:52:27.000,visit
813842,2019-01-25 13:21:41.000,visit
261411,2019-01-25 14:11:38.000,visit
311479,2019-01-25 15:44:18.000,registration
220214,2019-01-26 02:47:53.000,visit
220214,2019-01-26 12:39:56.000,login
183001,2019-01-26 15:57:14.000,visit
950427,2019-01-26 18:15:21.000,visit
950427,2019-01-26 21:46:03.000,registration
220214,2019-01-26 21:57:03.000,visit
994521,2019-01-27 00:13:40.000,visit
269083,2019-01-27 02:31:30.000,visit
261411,2019-01-27 06:57:15.000,visit
220214,2019-01-27 07:00:23.000,login
269083,2019-01-27 14:28:54.000,visit
697065,2019-01-28 01:13:14.000,visit
950427,2019-01-28 02:10:23.000,visit
260135,2019-01-28 14:04:33.000,visit
260135,2019-01-28 17:35:21.000,visit
311479,2019-01-28 23:32:10.000,login
311479,2019-01-28 23:54:26.000,visit
719746,2019-01-29 11:09:09.000,visit
534628,2019-01-29 11:26:00.000,visit
220214,2019-01-29 12:54:59.000,visit
261411,2019-01-29 14:47:13.000,visit
950427,2019-01-29 16:19:06.000,login
813842,2019-01-30 03:54:43.000,visit
609889,2019-01-30 10:03:23.000,visit
183001,2019-01-30 10:17:04.000,visit
994521,2019-01-31 06:03:29.000,visit
269083,2019-01-31 11:47:33.000,registration
269083,2019-01-31 19:27:17.000,visit
261411,2019-01-31 22:21:30.000,visit
220214,2019-02-01 00:04:18.000,visit
609889,2019-02-01 00:30:12.000,visit
719967,2019-02-01 08:20:08.000,visit
260135,2019-02-01 13:06:05.000,visit
950427,2019-02-02 03:17:30.000,visit
260135,2019-02-02 06:13:35.000,visit
311479,2019-02-02 06:18:33.000,login
697065,2019-02-02 16:40:07.000,visit
950427,2019-02-02 17:56:18.000,login
994521,2019-02-02 19:51:24.000,visit
260135,2019-02-02 20:06:05.000,registration
522354,2019-02-02 22:13:24.000,visit
311479,2019-02-03 10:45:12.000,visit
906165,2019-02-03 13:00:58.000,visit
120276,2019-02-03 14:41:03.000,visit
522354,2019-02-03 20:43:58.000,registration
676238,2019-02-03 21:06:52.000,visit
534628,2019-02-03 22:53:10.000,visit
261411,2019-02-04 07:04:01.000,visit
183001,2019-02-04 12:14:47.000,visit
933922,2019-02-04 14:58:11.000,visit
120276,2019-02-04 15:14:36.000,visit
269083,2019-02-05 05:40:54.000,visit
532109,2019-02-05 07:33:53.000,visit
719967,2019-02-05 08:29:53.000,visit
676238,2019-02-05 20:33:41.000,visit
697065,2019-02-05 20:38:27.000,visit
813842,2019-02-06 00:31:04.000,visit
269083,2019-02-06 02:32:22.000,visit
260135,2019-02-06 08:05:50.000,login
707729,2019-02-06 11:29:56.000,visit
269083,2019-02-06 11:42:06.000,login
627785,2019-02-06 13:14:33.000,visit
532109,2019-02-06 16:29:56.000,registration
269083,2019-02-06 18:03:08.000,visit
609889,2019-02-06 19:41:22.000,visit
522354,2019-02-06 20:21:45.000,login
220214,2019-02-06 20:45:31.000,visit
183001,2019-02-06 21:36:21.000,visit
950427,2019-02-06 22:49:00.000,login
898039,2019-02-07 01:17:46.000,visit
719967,2019-02-07 02:19:21.000,visit
260135,2019-02-07 02:31:33.000,visit
269083,2019-02-07 04:54:08.000,login
532109,2019-02-07 10:12:55.000,login
906165,2019-02-07 10:41:42.000,registration
933922,2019-02-07 14:48:43.000,visit
550013,2019-02-07 19:14:17.000,visit
719967,2019-02-07 22:52:32.000,registration
950427,2019-02-08 03:20:21.000,visit
898039,2019-02-08 06:36:59.000,visit
311479,2019-02-08 11:30:37.000,login
522354,2019-02-08 15:01:11.000,visit
269083,2019-02-08 15:35:13.000,visit
368264,2019-02-08 18:02:51.000,visit
220214,2019-02-08 20:14:07.000,visit
261411,2019-02-08 21:22:18.000,visit
534628,2019-02-09 02:37:19.000,visit
906165,2019-02-09 05:40:19.000,visit
311479,2019-02-09 07:17:43.000,visit
994521,2019-02-09 08:24:58.000,visit
550013,2019-02-09 18:41:16.000,visit
813842,2019-02-09 20:00:50.000,visit
697065,2019-02-09 23:05:26.000,visit
522354,2019-02-09 23:55:39.000,visit
550013,2019-02-10 00:15:05.000,registration
532109,2019-02-10 01:18:51.000,visit
707729,2019-02-10 03:05:28.000,registration
260135,2019-02-10 07:14:38.000,login
522354,2019-02-10 13:13:10.000,login
311479,2019-02-10 22:54:04.000,visit
522354,2019-02-11 00:59:53.000,visit
950427,2019-02-11 01:12:45.000,visit
676238,2019-02-11 02:22:35.000,visit
120276,2019-02-11 07:21:10.000,visit
697065,2019-02-11 16:12:58.000,visit
368264,2019-02-11 16:46:57.000,visit
707729,2019-02-11 17:06:33.000,visit
906165,2019-02-11 23:20:50.000,visit
368264,2019-02-11 23:26:53.000,registration
697065,2019-02-11 23:52:29.000,visit
719967,2019-02-12 00:41:47.000,visit
994521,2019-02-12 01:11:55.000,visit
609889,2019-02-12 03:59:39.000,visit
898039,2019-02-12 06:25:27.000,visit
