"id","client_id","hitdatetime","action","payment_amount"
1,930950,2021-10-02 19:16:27.000,open-paystation,0.00
2,930950,2021-10-02 19:19:48.000,choose-method,0.00
3,930950,2021-10-02 19:21:38.000,accept-method,0.00
4,930950,2021-10-02 19:24:56.000,make-payment,947.86
5,930950,2021-10-08 13:06:54.000,open-paystation,0.00
6,930950,2021-10-08 13:11:40.000,choose-method,0.00
7,930950,2021-10-08 13:13:19.000,accept-method,0.00
8,930950,2021-10-08 13:17:32.000,make-payment,1019.25
9,930950,2021-10-14 16:22:25.000,open-paystation,0.00
10,930950,2021-10-14 16:27:17.000,choose-method,0.00
11,930950,2021-10-14 16:29:41.000,accept-method,0.00
12,930950,2021-10-14 16:32:20.000,make-payment,2913.32
13,930950,2021-10-21 06:51:44.000,open-paystation,0.00
14,930950,2021-10-21 06:54:32.000,choose-method,0.00
15,930950,2021-10-21 06:57:26.000,accept-method,0.00
16,930950,2021-10-21 07:00:02.000,make-payment,2433.91
17,930950,2021-11-01 22:39:06.000,open-paystation,0.00
18,930950,2021-11-01 22:42:41.000,choose-method,0.00
19,930950,2021-11-01 22:45:34.000,accept-method,0.00
20,930950,2021-11-01 22:49:58.000,reject-payment,830.98
21,930950,2021-11-20 01:21:18.000,open-paystation,0.00
22,930950,2021-11-20 01:24:22.000,choose-method,0.00
23,930950,2021-11-20 01:26:11.000,accept-method,0.00
24,930950,2021-11-20 01:28:14.000,make-payment,2562.86
25,933600,2021-10-10 20:00:57.000,open-paystation,0.00
26,933600,2021-10-10 20:05:41.000,choose-method,0.00
27,933600,2021-10-10 20:07:44.000,accept-method,0.00
28,933600,2021-10-10 20:11:34.000,make-payment,2379.23
29,607473,2021-12-15 11:44:19.000,open-paystation,0.00
30,607473,2021-12-15 11:49:15.000,choose-method,0.00
31,607473,2021-12-15 11:51:59.000,accept-method,0.00
32,607473,2021-12-15 11:53:35.000,reject-payment,1231.01
33,607473,2021-12-29 11:01:06.000,open-paystation,0.00
34,607473,2021-12-29 11:04:55.000,choose-method,0.00
35,607473,2021-12-29 11:06:30.000,accept-method,0.00
36,607473,2021-12-29 11:08:45.000,make-payment,557.41
37,454218,2021-12-28 12:02:39.000,open-paystation,0.00
38,454218,2021-12-28 12:05:20.000,choose-method,0.00
39,454218,2021-12-28 12:07:40.000,accept-method,0.00
40,454218,2021-12-28 12:10:26.000,reject-payment,1395.22
41,454218,2022-01-05 05:32:56.000,open-paystation,0.00
42,454218,2022-01-05 05:37:25.000,choose-method,0.00
43,454218,2022-01-05 05:39:23.000,accept-method,0.00
44,454218,2022-01-05 05:41:14.000,make-payment,2238.24
45,347062,2022-01-04 21:15:05.000,open-paystation,0.00
46,347062,2022-01-04 21:19:49.000,choose-method,0.00
47,347062,2022-01-04 21:21:51.000,accept-method,0.00
48,347062,2022-01-04 21:25:43.000,reject-payment,2285.86
49,347062,2022-01-09 17:23:21.000,open-paystation,0.00
50,347062,2022-01-09 17:26:04.000,choose-method,0.00
51,347062,2022-01-09 17:27:08.000,accept-method,0.00
52,347062,2022-01-09 17:29:07.000,make-payment,2697.90
53,347062,2022-01-14 18:11:59.000,open-paystation,0.00
54,347062,2022-01-14 18:16:16.000,choose-method,0.00
55,347062,2022-01-14 18:17:46.000,accept-method,0.00
56,347062,2022-01-14 18:21:23.000,make-payment,221.34
57,601136,2021-06-07 02:15:42.000,open-paystation,0.00
58,601136,2021-06-07 02:20:04.000,choose-method,0.00
59,601136,2021-06-07 02:22:05.000,accept-method,0.00
60,601136,2021-06-07 02:26:51.000,reject-payment,420.75
61,123878,2021-03-23 01:14:47.000,open-paystation,0.00
62,123878,2021-03-23 01:18:55.000,choose-method,0.00
63,123878,2021-03-23 01:20:42.000,accept-method,0.00
64,123878,2021-03-23 01:22:30.000,reject-payment,1025.64
65,214662,2022-01-13 02:23:30.000,open-paystation,0.00
66,214662,2022-01-13 02:27:49.000,choose-method,0.00
67,214662,2022-01-13 02:29:41.000,accept-method,0.00
68,214662,2022-01-13 02:30:44.000,make-payment,2430.81
69,233508,2021-04-13 03:48:16.000,open-paystation,0.00
70,233508,2021-04-13 03:50:34.000,choose-method,0.00
71,233508,2021-04-13 03:52:25.000,accept-method,0.00
72,233508,2021-04-13 03:55:38.000,make-payment,1753.89
73,101838,2021-03-21 21:06:05.000,open-paystation,0.00
74,101838,2021-03-21 21:10:56.000,choose-method,0.00
75,101838,2021-03-21 21:12:05.000,accept-method,0.00
76,101838,2021-03-21 21:16:22.000,reject-payment,2361.66
77,255008,2021-04-07 17:11:34.000,open-paystation,0.00
78,255008,2021-04-07 17:14:39.000,choose-method,0.00
79,255008,2021-04-07 17:16:47.000,accept-method,0.00
80,255008,2021-04-07 17:19:53.000,make-payment,1120.26
81,255008,2021-04-09 07:29:33.000,open-paystation,0.00
82,255008,2021-04-09 07:34:02.000,choose-method,0.00
83,255008,2021-04-09 07:36:47.000,accept-method,0.00
84,255008,2021-04-09 07:40:31.000,reject-payment,2425.72
85,255008,2021-04-21 09:30:03.000,open-paystation,0.00
86,255008,2021-04-21 09:35:01.000,choose-method,0.00
87,255008,2021-04-21 09:37:28.000,accept-method,0.00
88,255008,2021-04-21 09:42:18.000,make-payment,248.27
89,255008,2021-04-25 01:20:16.000,open-paystation,0.00
90,255008,2021-04-25 01:24:06.000,choose-method,0.00
91,255008,2021-04-25 01:25:40.000,accept-method,0.00
92,255008,2021-04-25 01:27:15.000,make-payment,2303.49
93,532504,2021-12-03 22:24:26.000,open-paystation,0.00
94,532504,2021-12-03 22:29:00.000,choose-method,0.00
95,532504,2021-12-03 22:30:47.000,accept-method,0.00
96,532504,2021-12-03 22:34:59.000,make-payment,785.05
97,581436,2021-05-23 16:44:04.000,open-paystation,0.00
98,581436,2021-05-23 16:48:35.000,choose-method,0.00
99,581436,2021-05-23 16:50:06.000,accept-method,0.00
100,581436,2021-05-23 16:52:24.000,make-payment,1048.30
101,501119,2021-08-26 21:31:03.000,open-paystation,0.00
102,501119,2021-08-26 21:33:42.000,choose-method,0.00
103,501119,2021-08-26 21:36:15.000,accept-method,0.00
104,501119,2021-08-26 21:39:27.000,reject-payment,2762.49
105,924537,2021-12-10 11:13:20.000,open-paystation,0.00
106,924537,2021-12-10 11:18:07.000,choose-method,0.00
107,924537,2021-12-10 11:20:00.000,accept-method,0.00
108,924537,2021-12-10 11:23:13.000,reject-payment,1675.93
109,924537,2021-12-28 15:27:29.000,open-paystation,0.00
110,924537,2021-12-28 15:32:04.000,choose-method,0.00
111,924537,2021-12-28 15:33:54.000,accept-method,0.00
112,924537,2021-12-28 15:35:11.000,make-payment,745.36
113,614024,2021-03-26 20:17:11.000,open-paystation,0.00
114,614024,2021-03-26 20:20:25.000,choose-method,0.00
115,614024,2021-03-26 20:23:07.000,accept-method,0.00
116,614024,2021-03-26 20:27:23.000,reject-payment,2238.48
117,548379,2021-06-29 15:48:39.000,open-paystation,0.00
118,548379,2021-06-29 15:52:54.000,choose-method,0.00
119,548379,2021-06-29 15:55:07.000,accept-method,0.00
120,548379,2021-06-29 15:59:31.000,reject-payment,2945.02
121,548379,2021-07-05 17:42:27.000,open-paystation,0.00
122,548379,2021-07-05 17:47:24.000,choose-method,0.00
123,548379,2021-07-05 17:48:29.000,accept-method,0.00
124,548379,2021-07-05 17:51:05.000,make-payment,366.23
125,610577,2021-02-09 13:14:57.000,open-paystation,0.00
126,610577,2021-02-09 13:19:49.000,choose-method,0.00
127,610577,2021-02-09 13:21:48.000,accept-method,0.00
128,610577,2021-02-09 13:24:39.000,make-payment,2742.18
129,541125,2021-09-11 08:27:52.000,open-paystation,0.00
130,541125,2021-09-11 08:30:45.000,choose-method,0.00
131,541125,2021-09-11 08:31:56.000,accept-method,0.00
132,541125,2021-09-11 08:33:49.000,reject-payment,2701.63
133,541125,2021-09-23 07:04:12.000,open-paystation,0.00
134,541125,2021-09-23 07:07:35.000,choose-method,0.00
135,541125,2021-09-23 07:09:47.000,accept-method,0.00
136,541125,2021-09-23 07:14:12.000,make-payment,1359.97
137,380741,2021-09-15 07:27:00.000,open-paystation,0.00
138,380741,2021-09-15 07:31:06.000,choose-method,0.00
139,380741,2021-09-15 07:34:02.000,accept-method,0.00
140,380741,2021-09-15 07:38:07.000,make-payment,685.20
141,103716,2021-11-08 23:37:43.000,open-paystation,0.00
142,103716,2021-11-08 23:42:10.000,choose-method,0.00
143,103716,2021-11-08 23:43:55.000,accept-method,0.00
144,103716,2021-11-08 23:47:02.000,make-payment,883.79
145,359953,2021-06-09 00:45:09.000,open-paystation,0.00
146,359953,2021-06-09 00:49:11.000,choose-method,0.00
147,359953,2021-06-09 00:51:53.000,accept-method,0.00
148,359953,2021-06-09 00:55:52.000,make-payment,799.01
149,359953,2021-06-27 08:33:21.000,open-paystation,0.00
150,359953,2021-06-27 08:35:36.000,choose-method,0.00
151,359953,2021-06-27 08:37:46.000,accept-method,0.00
152,359953,2021-06-27 08:40:03.000,reject-payment,1831.07
153,359953,2021-07-07 11:24:18.000,open-paystation,0.00
154,359953,2021-07-07 11:29:17.000,choose-method,0.00
155,359953,2021-07-07 11:30:38.000,accept-method,0.00
156,359953,2021-07-07 11:34:35.000,reject-payment,2727.16
157,359953,2021-07-10 08:16:03.000,open-paystation,0.00
158,359953,2021-07-10 08:18:27.000,choose-method,0.00
159,359953,2021-07-10 08:21:10.000,accept-method,0.00
160,359953,2021-07-10 08:22:33.000,make-payment,2287.15
161,269083,2021-01-19 04:56:08.000,open-paystation,0.00
162,269083,2021-01-19 04:59:55.000,choose-method,0.00
163,269083,2021-01-19 05:02:05.000,accept-method,0.00
164,269083,2021-01-19 05:06:16.000,make-payment,1529.47
165,269083,2021-02-04 16:45:40.000,open-paystation,0.00
166,269083,2021-02-04 16:50:32.000,choose-method,0.00
167,269083,2021-02-04 16:53:18.000,accept-method,0.00
168,269083,2021-02-04 16:56:16.000,make-payment,423.23
169,415242,2021-11-10 06:12:29.000,open-paystation,0.00
170,415242,2021-11-10 06:14:56.000,choose-method,0.00
171,415242,2021-11-10 06:17:33.000,accept-method,0.00
172,415242,2021-11-10 06:18:59.000,reject-payment,1219.28
173,415242,2021-11-12 22:23:25.000,open-paystation,0.00
174,415242,2021-11-12 22:25:51.000,choose-method,0.00
175,415242,2021-11-12 22:27:54.000,accept-method,0.00
176,415242,2021-11-12 22:29:24.000,make-payment,671.04
177,245266,2021-10-08 20:24:20.000,open-paystation,0.00
178,245266,2021-10-08 20:28:43.000,choose-method,0.00
179,245266,2021-10-08 20:30:16.000,accept-method,0.00
180,245266,2021-10-08 20:31:34.000,make-payment,2883.27
181,245266,2021-10-17 12:36:47.000,open-paystation,0.00
182,245266,2021-10-17 12:39:26.000,choose-method,0.00
183,245266,2021-10-17 12:41:47.000,accept-method,0.00
184,245266,2021-10-17 12:43:56.000,make-payment,1867.02
185,846159,2021-07-02 00:50:27.000,open-paystation,0.00
186,846159,2021-07-02 00:53:41.000,choose-method,0.00
187,846159,2021-07-02 00:55:31.000,accept-method,0.00
188,846159,2021-07-02 00:57:34.000,make-payment,728.53
189,846159,2021-07-02 16:48:43.000,open-paystation,0.00
190,846159,2021-07-02 16:50:49.000,choose-method,0.00
191,846159,2021-07-02 16:53:14.000,accept-method,0.00
192,846159,2021-07-02 16:55:18.000,make-payment,1814.05
193,348471,2021-08-27 05:44:34.000,open-paystation,0.00
194,348471,2021-08-27 05:48:38.000,choose-method,0.00
195,348471,2021-08-27 05:51:28.000,accept-method,0.00
196,348471,2021-08-27 05:56:23.000,reject-payment,1093.19
197,348471,2021-09-02 06:40:37.000,open-paystation,0.00
198,348471,2021-09-02 06:44:51.000,choose-method,0.00
199,348471,2021-09-02 06:46:40.000,accept-method,0.00
200,348471,2021-09-02 06:48:47.000,make-payment,1377.93
201,348471,2021-09-06 03:15:24.000,open-paystation,0.00
202,348471,2021-09-06 03:19:22.000,choose-method,0.00
203,348471,2021-09-06 03:20:56.000,accept-method,0.00
204,348471,2021-09-06 03:23:48.000,make-payment,1503.50
205,348471,2021-09-16 03:14:02.000,open-paystation,0.00
206,348471,2021-09-16 03:16:46.000,choose-method,0.00
207,348471,2021-09-16 03:18:04.000,accept-method,0.00
208,348471,2021-09-16 03:20:17.000,make-payment,2541.61
209,348471,2021-09-28 11:45:30.000,open-paystation,0.00
210,348471,2021-09-28 11:49:57.000,choose-method,0.00
211,348471,2021-09-28 11:51:01.000,accept-method,0.00
212,348471,2021-09-28 11:54:10.000,make-payment,1817.35
213,694592,2021-02-23 12:26:01.000,open-paystation,0.00
214,694592,2021-02-23 12:28:28.000,choose-method,0.00
215,694592,2021-02-23 12:30:24.000,accept-method,0.00
216,694592,2021-02-23 12:35:20.000,reject-payment,1907.78
217,694592,2021-03-02 11:18:46.000,open-paystation,0.00
218,694592,2021-03-02 11:23:28.000,choose-method,0.00
219,694592,2021-03-02 11:26:13.000,accept-method,0.00
220,694592,2021-03-02 11:30:36.000,make-payment,142.13
221,940045,2021-06-07 01:57:17.000,open-paystation,0.00
222,940045,2021-06-07 02:00:04.000,choose-method,0.00
223,940045,2021-06-07 02:02:48.000,accept-method,0.00
224,940045,2021-06-07 02:06:30.000,make-payment,2685.57
225,577511,2021-06-24 20:16:05.000,open-paystation,0.00
226,577511,2021-06-24 20:20:07.000,choose-method,0.00
227,577511,2021-06-24 20:21:16.000,accept-method,0.00
228,577511,2021-06-24 20:23:24.000,make-payment,1111.86
229,788205,2021-12-10 17:49:16.000,open-paystation,0.00
230,788205,2021-12-10 17:52:01.000,choose-method,0.00
231,788205,2021-12-10 17:53:42.000,accept-method,0.00
232,788205,2021-12-10 17:57:53.000,make-payment,1302.89
233,260135,2021-01-18 08:07:50.000,open-paystation,0.00
234,260135,2021-01-18 08:11:18.000,choose-method,0.00
235,260135,2021-01-18 08:13:03.000,accept-method,0.00
236,260135,2021-01-18 08:15:10.000,make-payment,1814.02
237,260135,2021-01-22 07:15:38.000,open-paystation,0.00
238,260135,2021-01-22 07:20:33.000,choose-method,0.00
239,260135,2021-01-22 07:21:35.000,accept-method,0.00
240,260135,2021-01-22 07:25:11.000,reject-payment,228.19
241,260135,2021-01-26 07:45:22.000,open-paystation,0.00
242,260135,2021-01-26 07:48:36.000,choose-method,0.00
243,260135,2021-01-26 07:50:14.000,accept-method,0.00
244,260135,2021-01-26 07:52:00.000,make-payment,2660.31
245,260135,2021-02-19 09:22:19.000,open-paystation,0.00
246,260135,2021-02-19 09:26:06.000,choose-method,0.00
247,260135,2021-02-19 09:28:07.000,accept-method,0.00
248,260135,2021-02-19 09:29:44.000,make-payment,2350.77
249,260135,2021-02-23 03:08:09.000,open-paystation,0.00
250,260135,2021-02-23 03:10:26.000,choose-method,0.00
251,260135,2021-02-23 03:12:03.000,accept-method,0.00
252,260135,2021-02-23 03:15:45.000,make-payment,190.07
253,374356,2021-05-09 22:10:45.000,open-paystation,0.00
254,374356,2021-05-09 22:13:55.000,choose-method,0.00
255,374356,2021-05-09 22:15:54.000,accept-method,0.00
256,374356,2021-05-09 22:20:37.000,make-payment,784.48
257,456804,2022-01-02 00:43:32.000,open-paystation,0.00
258,456804,2022-01-02 00:48:31.000,choose-method,0.00
259,456804,2022-01-02 00:51:06.000,accept-method,0.00
260,456804,2022-01-02 00:52:34.000,reject-payment,1983.27
261,456804,2022-01-11 07:16:15.000,open-paystation,0.00
262,456804,2022-01-11 07:20:43.000,choose-method,0.00
263,456804,2022-01-11 07:23:37.000,accept-method,0.00
264,456804,2022-01-11 07:26:04.000,reject-payment,167.68
265,456804,2022-01-15 08:40:05.000,open-paystation,0.00
266,456804,2022-01-15 08:42:57.000,choose-method,0.00
267,456804,2022-01-15 08:44:21.000,accept-method,0.00
268,456804,2022-01-15 08:47:44.000,make-payment,1738.71
269,456804,2022-01-27 05:05:14.000,open-paystation,0.00
270,456804,2022-01-27 05:07:18.000,choose-method,0.00
271,456804,2022-01-27 05:08:32.000,accept-method,0.00
272,456804,2022-01-27 05:12:24.000,reject-payment,848.84
273,524016,2021-11-27 18:32:07.000,open-paystation,0.00
274,524016,2021-11-27 18:35:39.000,choose-method,0.00
275,524016,2021-11-27 18:37:17.000,accept-method,0.00
276,524016,2021-11-27 18:38:50.000,make-payment,783.26
277,553628,2021-08-26 01:13:39.000,open-paystation,0.00
278,553628,2021-08-26 01:15:52.000,choose-method,0.00
279,553628,2021-08-26 01:17:09.000,accept-method,0.00
280,553628,2021-08-26 01:19:27.000,make-payment,1539.83
281,553628,2021-08-30 06:47:02.000,open-paystation,0.00
282,553628,2021-08-30 06:51:34.000,choose-method,0.00
283,553628,2021-08-30 06:53:52.000,accept-method,0.00
284,553628,2021-08-30 06:57:57.000,make-payment,2589.90
285,553628,2021-09-07 20:17:11.000,open-paystation,0.00
286,553628,2021-09-07 20:21:28.000,choose-method,0.00
287,553628,2021-09-07 20:22:47.000,accept-method,0.00
288,553628,2021-09-07 20:26:01.000,make-payment,1920.21
289,553628,2021-09-14 20:27:32.000,open-paystation,0.00
290,553628,2021-09-14 20:31:50.000,choose-method,0.00
291,553628,2021-09-14 20:34:39.000,accept-method,0.00
292,553628,2021-09-14 20:38:15.000,make-payment,2156.66
293,704287,2021-03-11 00:44:59.000,open-paystation,0.00
294,704287,2021-03-11 00:49:26.000,choose-method,0.00
295,704287,2021-03-11 00:51:46.000,accept-method,0.00
296,704287,2021-03-11 00:54:15.000,make-payment,1389.81
297,704287,2021-03-15 05:20:35.000,open-paystation,0.00
298,704287,2021-03-15 05:23:15.000,choose-method,0.00
299,704287,2021-03-15 05:26:13.000,accept-method,0.00
300,704287,2021-03-15 05:28:26.000,reject-payment,2805.46
301,871406,2021-05-27 20:20:42.000,open-paystation,0.00
302,871406,2021-05-27 20:24:55.000,choose-method,0.00
