"hitdatetime","action","client_id","payment_amount"
2019-01-22 21:34:27.000,open-paystation,220214,0.00
2019-01-22 21:37:10.000,choose-method,220214,0.00
2019-01-22 21:39:43.000,accept-method,220214,0.00
2019-01-22 21:43:27.000,make-payment,220214,1990.43
2019-02-02 06:21:33.000,open-paystation,311479,0.00
2019-02-02 06:24:09.000,choose-method,311479,0.00
2019-02-02 06:25:50.000,accept-method,311479,0.00
2019-02-02 06:28:00.000,make-payment,311479,991.68
2019-02-06 08:07:50.000,open-paystation,260135,0.00
2019-02-06 08:11:18.000,choose-method,260135,0.00
2019-02-06 08:13:03.000,accept-method,260135,0.00
2019-02-06 08:15:10.000,make-payment,260135,1814.02
2019-02-06 20:22:45.000,open-paystation,522354,0.00
2019-02-06 20:25:10.000,choose-method,522354,0.00
2019-02-06 20:26:18.000,accept-method,522354,0.00
2019-02-06 20:30:45.000,reject-payment,522354,498.11
2019-02-07 04:56:08.000,open-paystation,269083,0.00
2019-02-07 04:59:55.000,choose-method,269083,0.00
2019-02-07 05:02:05.000,accept-method,269083,0.00
2019-02-07 05:06:16.000,make-payment,269083,1529.47
2019-02-10 07:15:38.000,open-paystation,260135,0.00
2019-02-10 07:20:33.000,choose-method,260135,0.00
2019-02-10 07:21:35.000,accept-method,260135,0.00
2019-02-10 07:25:11.000,reject-payment,260135,228.19
2019-02-10 13:15:10.000,open-paystation,522354,0.00
2019-02-10 13:18:36.000,choose-method,522354,0.00
2019-02-10 13:19:49.000,accept-method,522354,0.00
2019-02-10 13:24:23.000,make-payment,522354,480.60
2019-02-13 15:58:22.000,open-paystation,898039,0.00
2019-02-13 16:02:55.000,choose-method,898039,0.00
2019-02-13 16:05:23.000,accept-method,898039,0.00
2019-02-13 16:06:25.000,reject-payment,898039,2057.27
2019-02-14 05:00:05.000,open-paystation,906165,0.00
2019-02-14 05:04:28.000,choose-method,906165,0.00
2019-02-14 05:06:49.000,accept-method,906165,0.00
2019-02-14 05:09:03.000,reject-payment,906165,1144.78
2019-02-14 05:25:59.000,open-paystation,522354,0.00
2019-02-14 05:29:02.000,choose-method,522354,0.00
2019-02-14 05:31:05.000,accept-method,522354,0.00
2019-02-14 05:35:28.000,make-payment,522354,1412.35
2019-02-14 07:45:22.000,open-paystation,260135,0.00
